,,Cicero,,Golden,,Caesar
a,1497,0.082,20789,0.082,9815,0.081
b,253,0.014,3917,0.016,1969,0.016
c,764,0.042,6271,0.025,4374,0.036
d,567,0.031,12217,0.048,3188,0.026
e,2110,0.115,32757,0.130,14772,0.122
f,162,0.009,5520,0.022,1079,0.009
g,121,0.007,6873,0.027,1147,0.010
h,128,0.007,18135,0.072,625,0.005
i,2210,0.121,15132,0.060,13584,0.113
j,0,0,196,0.001,0,0.000
k,0,0,3332,0.013,0,0.000
l,531,0.029,10913,0.043,3374,0.028
m,1215,0.066,5392,0.021,6248,0.052
n,1144,0.063,17087,0.068,7690,0.064
o,1040,0.057,18124,0.072,6945,0.058
p,451,0.025,4705,0.019,3432,0.028
q,296,0.016,162,0.001,2101,0.017
r,1059,0.058,12845,0.051,8144,0.068
s,1357,0.074,15258,0.060,9881,0.082
t,1479,0.081,22929,0.091,10236,0.085
u,1571,0.086,7008,0.028,10047,0.083
v,269,0.015,1639,0.006,1325,0.011
w,0,0,6085,0.024,0,0.000
x,73,0.004,219,0.001,672,0.006
y,0,0,4710,0.019,3,0.000
z,0,0,157,0.001,0,0.000
,,,,,,
,18297,0.039,252372,0.039,120651,0.038
